FR_hip_geom,FR_thigh_geom,FR_calf_geom,FL_hip_geom,FL_thigh_geom,FL_calf_geom,RR_hip_geom,RR_thigh_geom,RR_calf_geom,RL_hip_geom,RL_thigh_geom,RL_calf_geom
1.00698138, 1.0458784  ,1.04832045 ,0.97922747 ,0.96837657 ,0.95406448 ,0.95228308 ,1.03936016 ,1.03969157 ,0.96707402 ,0.95105601 ,0.9510095
1.04855166, 1.04091612 ,1.04930523 ,0.96760385 ,0.96660359 ,0.950286   ,0.99701756 ,1.04878443 ,1.04336273 ,0.96330994 ,0.95053561 ,0.95098417
1.03082618, 1.04847326 ,1.04124698 ,0.97170859 ,0.95022452 ,0.9587182  ,0.96308288 ,1.04523495 ,1.04700237 ,0.97507375 ,0.95674827 ,0.95133648
1.0105285 , 1.04949854 ,1.04770088 ,0.96718828 ,0.95537509 ,0.97087502 ,1.01566984 ,1.04460472 ,1.04342547 ,0.95356514 ,0.95213814 ,0.95112784
1.00063762, 1.04707802 ,1.04669164 ,0.97217406 ,0.96426864 ,0.95095043 ,0.95653189 ,1.04984893 ,1.04664219 ,0.95723521 ,0.95369985 ,0.9511331
1.04253578, 1.04625895 ,1.0442535  ,0.98472811 ,0.95780713 ,0.9623045  ,0.95524023 ,1.03378114 ,1.04177272 ,0.97824932 ,0.95186816 ,0.95110836
1.0191342 , 1.02970434 ,1.04545551 ,0.95842497 ,0.9571541  ,0.96522807 ,1.02897032 ,1.04874291 ,1.04748969 ,0.96715683 ,0.95238335 ,0.95110155
1.00894704, 1.03691851 ,1.04175565 ,0.98289926 ,0.95059142 ,0.9532166  ,0.97553297 ,1.04704912 ,1.03800673 ,0.98646357 ,0.9501302  ,0.95218454
1.04475153, 1.04352697 ,1.04493297 ,0.96232173 ,0.95514472 ,0.96276615 ,1.00615385 ,1.04839209 ,1.04728795 ,0.969063   ,0.95220884 ,0.95108062
0.96616856, 1.04778296 ,1.02386601 ,0.98816241 ,0.96675271 ,0.95670447 ,1.04190636 ,1.03354685 ,1.04067049 ,0.95680735 ,0.95146411 ,0.95076791
1.02346494, 1.03947394 ,1.03983198 ,0.96624375 ,0.95188563 ,0.95953633 ,1.01902528 ,1.04762407 ,1.04687916 ,0.97659004 ,0.95383114 ,0.95282954
1.0122767 , 1.04424226 ,1.04665329 ,0.98169984 ,0.95424153 ,0.96382793 ,0.99646366 ,1.03860383 ,1.04027112 ,0.99327297 ,0.9502913  ,0.95065963
1.00429401, 1.04720682 ,1.04522849 ,0.97638613 ,0.95899725 ,0.95522362 ,0.96218877 ,1.0428824  ,1.04199501 ,0.97893254 ,0.95232174 ,0.95089823
1.04950921, 1.03354523 ,1.03949359 ,0.96371071 ,0.9545902  ,0.96230382 ,0.96975178 ,1.0400497  ,1.04779877 ,0.98127746 ,0.95193777 ,0.95048209
1.01589741, 1.03918865 ,1.02508497 ,0.97782639 ,0.95358239 ,0.95493166 ,0.95429553 ,1.04045488 ,1.04607832 ,0.9685647  ,0.95211671 ,0.95194461
0.99246798 ,1.04388883 ,1.02825422 ,0.97786216 ,0.97350963 ,0.96014202 ,0.95898737 ,1.04769918 ,1.04795093 ,0.98778582 ,0.95200982 ,0.95171283
1.04593482 ,1.03835143 ,1.04375877 ,0.9758933  ,0.95919088 ,0.96929158 ,1.00119191 ,1.03923408 ,1.04044533 ,0.98974304 ,0.95233733 ,0.95067936
0.96659976 ,1.0388989  ,1.04997334 ,0.96748797 ,0.95517745 ,0.95670027 ,1.02159034 ,1.0477592  ,1.04721778 ,0.97266644 ,0.95109631 ,0.95107076
0.96939238, 1.03476573 ,1.04427715 ,0.97016002 ,0.95079326 ,0.97058798 ,1.0233395  ,1.04389532 ,1.04229759 ,0.98484195 ,0.95219455 ,0.95082817
1.04043558, 1.0444592  ,1.03558754 ,0.97055967 ,0.9653629  ,0.95472162 ,0.95801623 ,1.04107937 ,1.04342341 ,0.96082651 ,0.95024559 ,0.95046574
0.97987548, 1.04683391 ,1.04943576 ,0.97130606 ,0.965404   ,0.96055002 ,0.99423608 ,1.04502754 ,1.04476999 ,0.9698646  ,0.95125704 ,0.95128046
0.97921128, 1.04658545 ,1.00566223 ,0.97667012 ,0.95683512 ,0.96700564 ,1.01481005 ,1.03905665 ,1.04885998 ,0.99081259 ,0.95286419 ,0.95068665
1.02974664, 1.04975012 ,1.02113683 ,0.97821992 ,0.95050072 ,0.95468809 ,0.95373029 ,1.0401474  ,1.04428445 ,0.96814601 ,0.95153998 ,0.95124333
1.01961184, 1.04043691 ,1.04903175 ,0.96959881 ,0.95811374 ,0.96051579 ,0.98007801 ,1.04185755 ,1.04413546 ,1.02679    ,0.9503031  ,0.9504334
