FR_hip_geom,FR_thigh_geom,FR_calf_geom,FL_hip_geom,FL_thigh_geom,FL_calf_geom,RR_hip_geom,RR_thigh_geom,RR_calf_geom,RL_hip_geom,RL_thigh_geom,RL_calf_geom
1.03514514, 1.01464018, 1.04170419, 0.98345488, 0.95602973, 0.95016038, 1.00990137, 1.04987502, 1.04843985, 0.98209052, 0.95313306, 0.95478831
1.01947809, 1.01442127, 1.04691227, 0.9876053 , 0.95037377, 0.9554983 , 0.98633602, 1.04994903, 1.04892218, 1.01480138, 0.95084166, 0.95307757
1.02238712, 1.04209565, 1.04104441, 0.98681472, 0.95437726, 0.9588433 , 1.00986109, 1.04528697, 1.0432138 , 0.97827485, 0.95361334, 0.95339689
1.04417629, 1.01828957, 1.02803684, 0.96414261, 0.95169894, 0.96301687, 1.01243641, 1.04818703, 1.04963081, 1.03721005, 0.95626368, 0.95156668
1.03951899, 1.04793796, 1.04914068, 0.96448011, 0.95200072, 0.96992965, 1.01828043, 1.04889283, 1.0475685 , 0.9553181 , 0.95588123, 0.95560559
0.98024923, 1.03334377, 1.02727745, 0.97642171, 0.95806887, 0.95464778, 1.04914376, 1.04901652, 1.04656372, 0.96905345, 0.95124387, 0.95208846
1.04990055, 1.04623915 ,1.03554514, 0.98182061, 0.95589564, 0.95081042, 0.99352125, 1.04801515, 1.04915635, 0.97513819, 0.95301327, 0.9562424 
0.9929228 , 1.01221517, 1.03465016, 1.01079295, 0.95218668, 0.95491286, 1.00623241, 1.048516  , 1.04706756, 0.97850315, 0.95560547, 0.95539362
1.03423325, 1.00165637, 1.03976322, 0.99952237, 0.95303344, 0.95505705, 0.99777455, 1.04687646, 1.04825935, 0.99253985, 0.95261444, 0.95421395
0.97884587, 1.03691239, 1.03163361, 1.01119148, 0.95594046, 0.97760438, 1.0017818 , 1.04335772, 1.04432671, 0.95175286, 0.95034682, 0.95188437
0.97736614, 1.03690527, 1.04141557, 1.03135685, 0.95319885, 0.95995472, 0.98651604, 1.04627124, 1.04685009, 0.97439174, 0.95111592, 0.9516606 
1.02344479, 1.01286338, 1.02877599, 0.95809069, 0.96044074, 0.95182816, 0.99902603, 1.0498542 , 1.04829418, 0.96260035, 0.95383891, 0.9551409 
1.0018699 , 1.03948526, 1.04419484, 1.01979597, 0.95322716, 0.96121212, 1.00318534, 1.04817064, 1.04140752, 1.01614401, 0.95139245, 0.95310461
1.00391226, 1.04171117, 1.04673176, 1.00125486, 0.96103896, 0.95219388, 1.02277327, 1.04989309, 1.0487971 , 0.97629891, 0.95187769, 0.95456538
0.97398852, 1.00809499, 1.03912254, 1.01859978, 0.95324539, 0.95320805, 1.00105403, 1.04930652, 1.04729663, 0.95688557, 0.95542882, 0.95312983
0.99983666, 1.02153339, 1.04323587, 0.9508227 , 0.95386556, 0.95239617, 0.9843184 , 1.04052645, 1.04609539, 1.02726996, 0.95140337, 0.95520847
0.99923499, 1.00238423, 0.98895454, 1.00451585, 0.95596846, 0.95615598, 1.00508271, 1.04843372, 1.04736472, 0.98578969, 0.95774876, 0.95285569
1.00835502, 1.01339675, 1.03783956, 0.98021918, 0.957488  , 0.95756202, 1.0137946 , 1.04837906, 1.04243362, 1.03646868, 0.95106671, 0.95233682
1.0334736 , 1.02150614, 1.04929305, 0.96802689, 0.96142186, 0.95162207, 0.99613382, 1.04950353, 1.04793092, 1.01602214, 0.95194393, 0.95047095
