torso1,lwaist1,uwaist1,butt1,right_thigh1,right_shin1,right_foot1,right_foot2,left_thigh1,left_shin1,left_foot1,left_foot2,right_uarm1,right_larm1,left_uarm1,left_larm1
0.95756064, 1.04587433, 1.0089235 , 1.01936988, 1.03923996, 1.0464526 ,1.04120361 , 1.0398172 , 0.96209291, 1.04072788, 1.03352328, 1.02468319, 1.02826465, 1.03817725, 1.02578708, 1.0154776 
0.97279087, 1.04224306, 1.0364472 , 1.04812889, 1.04200042, 1.04600486, 1.03340631, 1.04145437, 0.95911694, 1.02887699, 1.0385127 , 1.02506325, 1.03168015, 1.03757669, 1.02739545, 1.02157753
0.99394051, 1.0411111 , 1.02666947, 1.04638805, 1.03016653, 1.03674686, 1.04022124, 1.01195474, 0.95432302, 1.02209326, 1.04643753, 1.02168367, 1.02371243, 1.02883639, 1.03474912, 1.03102253
0.98599271, 1.02942889, 1.02185452, 1.01847019, 1.03942367, 1.03589144, 1.03663928, 1.00629875, 0.95488428, 1.04770793, 1.02952063, 1.02247777, 1.02577207, 1.03240244, 1.03111843, 1.03124194
0.97195701, 1.04226846, 0.95211675, 1.03677541, 1.03947283, 1.04274456, 1.03688447, 1.00996652, 0.95661014, 1.03570684, 1.000519  , 1.04159592, 1.0402333 , 1.03007205, 1.03821166, 1.0417781 
0.96001728, 1.03170489, 1.00300249, 1.03860164, 1.03683426, 1.03632568, 1.04332572, 1.02771561, 0.95954556, 1.04641239, 1.02877286, 1.03204776, 1.02703009, 1.03938362, 1.03194504, 1.03511899
0.96240093, 1.03464502, 1.00729897, 0.98651899, 1.04746149, 1.03317945, 1.03790966, 1.01833157, 0.95526101, 1.04254002, 0.96350924, 1.03909797, 1.03169886, 1.03273618, 1.03389831, 1.02211689
0.97977309, 1.04413724, 1.01572253, 1.04924594, 1.02446385, 1.04537319, 1.04521771, 1.03756416, 0.95979031, 1.03258154, 1.03838151, 1.02095603, 1.02826033, 1.03565818, 1.02531906, 1.01390215
0.96356462, 1.0391176 , 1.00088515, 1.04332534, 1.02878859, 1.03918108, 1.03602057, 1.03476928, 0.95722075, 1.03044149, 1.04542202, 1.01762105, 1.03027337, 1.03466602, 1.02595302, 1.02708701
0.97587219, 1.04106612, 1.00110001, 1.04763505, 1.02768298, 1.04596694, 1.03915335, 1.027711  , 0.96061437, 1.03594134, 1.03678095, 1.02477279, 1.03027148, 1.03901511, 1.02579352, 1.01802403
0.98496474, 1.03973056, 1.02498424, 1.04562674, 1.04832416, 1.03785599, 1.03018734, 1.01252687, 0.95509012, 1.02922695, 1.04584856, 1.0234495 , 1.02499699, 1.03083221, 1.03364409, 1.04104924
0.99719019, 1.03891723, 1.0464886 , 1.02951575, 1.04698357, 1.04536846, 1.03022302, 1.03418744, 0.95995779, 1.04860657, 1.04720986, 1.03720147, 1.03488943, 1.0315224 , 1.02784493, 1.01982382
0.95341132, 1.03222982, 0.9835166 , 1.04730542, 1.04738722, 1.0456698 ,1.03819183 , 1.03029524, 0.9583443 , 1.04258704, 1.03429707, 1.0251574 , 1.03079558, 1.04726639, 1.02344818, 1.04210952
