torso1,uwaist1,lwaist1,butt1,right_thigh1,right_shin1,right_foot1,right_foot2,left_thigh1,left_shin1,left_foot1,left_foot2,right_uarm1,right_larm1,left_uarm1,left_larm1,right_hand1,left_hand1,head1
0.98136684, 1.02254804, 0.96584996, 0.99806679, 0.95469894, 0.95788256, 0.96901797, 0.95082347, 0.95388826, 0.95997618, 0.97838337, 0.95655225, 0.97309037, 0.97489436, 0.9717808 , 0.96887633, 0.96708216,1.02492561, 1.00966681
1.01383509, 1.01550701, 0.95347095, 1.0232473 , 0.95396796, 0.95850531, 0.97143601, 0.9621039 , 0.96754495, 0.95664293, 0.95585842, 0.97042046, 0.96999827, 0.97271133, 0.97353969, 0.97905637, 0.97295427,0.99374528, 1.0241991
1.00378828, 1.01382224, 0.95778299, 1.00046586, 0.956567  , 0.95505542, 0.9578042 , 0.95745718, 0.95391842, 0.95202131, 0.97782586, 0.97515932, 0.96469028, 0.95290384, 0.97193246, 0.98185573, 0.96995169,0.95708343, 1.03106503
0.9782469 , 1.01584512, 0.97429809, 0.97226563, 0.95137383, 0.96302791, 0.99951161, 0.95685498, 0.96003203, 0.95832548, 0.97086207, 0.95815373, 0.96039935, 0.96777663, 0.97741218, 0.9816694 , 0.99725344,0.97631109, 1.04978655
1.0004084 , 1.02835175, 0.9533277 , 1.0005748 , 0.96177964, 0.95434677, 0.98376589, 0.95251251, 0.96393962, 0.95367229, 0.97775789, 0.95525432, 0.9716816 , 0.97203738, 0.97854989, 0.97609042, 1.01153968,0.97511923, 1.04400707
0.96708063, 0.99613494, 0.95691209, 0.97867214, 0.95992409, 0.95883401, 0.98965371, 0.95195116, 0.97919663, 0.95686847, 0.95705247, 0.95744735, 0.95887541, 0.96616632, 0.97771876, 0.99296959, 1.04707406,0.95771455, 1.04195726
0.95859543, 1.03046016, 0.95602445, 0.9981465 , 0.96145537, 0.9594235 ,0.96624025 ,0.95091469 ,0.9653105  ,0.95093647 ,0.96280453 ,0.95508883 ,0.96585046 ,0.96829813 ,0.97275265 ,0.96801782 ,0.99350085 ,0.96051355 ,1.0262324
1.0085024 , 1.00911561, 0.96653023, 0.99828077, 0.95634967, 0.95989886, 0.98738135, 0.9539405 , 0.96877134, 0.95468144, 0.96120079, 0.95464867, 0.96691087, 0.961154  , 0.97238879, 0.97621197, 0.97844021,0.98532467, 1.03494279
1.00545766, 1.0130311 , 0.95939393, 1.02711142, 0.95118542, 0.95095382, 0.97844027, 0.95327556, 0.95263751, 0.97037702, 0.95797345, 0.96488982, 0.96774736, 0.9699592 , 0.97504446, 0.9692151 , 0.97820372,0.98929422, 1.00836042
0.95980267, 1.02257111, 0.96567878, 0.99830166, 0.95766097, 0.9604756 ,0.98528976 ,0.95366733 ,0.96969882 ,0.95418843 ,0.96039044 ,0.95505405 ,0.9636162  ,0.96244856 ,0.97200929 ,0.95034316 ,0.96903224 ,0.98953631 ,1.03779334
1.00285861, 1.01899032, 0.95235707, 1.00970766, 0.950792  , 0.95034462, 0.95441757, 0.9540972 , 0.95834361, 0.9535252 , 0.96297767, 0.96223789, 0.96824864, 0.98091773, 0.9763009 , 0.97735506, 1.02941091,0.99228406, 1.03992676
0.95825179, 1.01857501, 0.96324502, 1.00897573, 0.95912191, 0.95768308, 0.95668405, 0.95374987, 0.97050535, 0.95494741, 0.96628286, 0.95494495, 0.96546433, 0.9618657 , 0.97326795, 0.95316894, 1.03018442,0.96294203, 0.97025242
0.97589959, 1.01485882, 0.95735092, 0.99479351, 0.95440196, 0.95766422, 0.95647856, 0.95243604, 0.96846709, 0.95390317, 0.96383682, 0.95558506, 0.96668994, 0.96686304, 0.97555263, 0.97401287, 1.02587239,0.97880467, 1.04579622
0.95965229, 1.0231845 , 0.96857055, 0.99734079, 0.95222041, 0.95720709, 0.9604778 , 0.96128089, 0.9582765 , 0.97469351, 0.96810039, 0.96353977, 0.96920103, 0.95931947, 0.97242334, 0.97494612, 1.00608689,0.98080334, 1.0441106
0.98843365, 1.02350713, 0.95603546, 0.9669979 , 0.95200527, 0.960445  , 0.98495638, 0.95184408, 0.96087191, 0.96076229, 0.95153636, 0.95609252, 0.97841729, 0.96343209, 0.97634609, 0.96108325, 1.04960203,1.00272003, 1.00521212
1.02166038, 1.02887448, 0.95571662, 1.0198196 , 0.95457079, 0.95714334, 0.96807023, 0.95424005, 0.97735395, 0.96170006, 0.95433246, 0.96163792, 0.96531621, 0.96436509, 0.97857818, 0.96406421, 0.99733576,0.98576154, 1.02064556
0.9954054 , 1.03142195, 0.96246485, 0.99112885, 0.95404566, 0.95476999, 0.99942421 ,0.95231203, 0.95601131, 0.95898534, 0.96710078, 0.95633158, 0.96282065, 0.96132333, 0.97689993, 0.95891076, 1.03463601,1.01524521, 1.04400562
0.9950241 , 1.02246525, 0.95456345, 1.00967916, 0.95828094, 0.95889563, 0.99150712, 0.95207481, 0.96243305, 0.95269645, 0.97244087, 0.96109571, 0.97199195, 0.95973138, 0.97633074, 0.9748635 , 1.00302887,0.96935384, 1.03822296
1.01785736, 1.01433718, 0.96421239, 1.00902443, 0.95247386, 0.95654167, 0.97092009, 0.95421357, 0.96197793, 0.96177645, 0.95377482, 0.95975835, 0.96574281, 0.96521558, 0.97237754, 0.96393307, 0.97512412,0.99208503, 1.046525
0.97014467, 1.00906072, 0.95830955, 0.99805291, 0.95158975, 0.95653313, 0.97058591, 0.95535273, 0.97045984, 0.95452235, 0.95282692, 0.95397756, 0.96727201, 0.96296393, 0.97802615, 0.96950473, 1.02845251,0.96307179, 0.95426541
0.99866642, 1.00573515, 0.96050727, 1.01809981, 0.95297087, 0.95275719, 0.9559978 , 0.95297391, 0.97093556, 0.956796  , 0.96760427, 0.9595111 ,0.9606745  ,0.97378741 ,0.97262688 ,0.99899513 ,1.03778348 ,0.95545381 ,0.98708438
0.98209233, 1.02931931, 0.95053494, 0.97461437, 0.95509776, 0.95778278, 0.95131969, 0.95369627, 1.00227891, 0.96022972, 0.96004826, 0.96510364, 0.96418825, 0.96268906, 0.97670923, 0.97508456, 0.97758836,0.98084321, 1.04874739
0.98141109, 1.01126742, 0.96033658, 0.97854024, 0.95182307, 0.95831603, 0.96008812, 0.95245856, 0.97114104, 0.9539285  ,0.96369896, 0.9504607 ,0.95854711 ,0.96521578 ,0.97199849 ,0.99426497 ,0.95352446 ,0.97513204 ,1.03875408
0.96098796, 1.04013391, 0.95637302, 0.97792316, 0.95226404, 0.95718899, 0.95651449, 0.95197164, 0.95093374, 0.95208684 ,0.9655864 , 0.97543638, 0.96745002, 0.95289038, 0.97264445, 0.9762968 , 0.97590748,0.98343937, 1.04655785
0.97682045, 1.02467344, 0.97062041, 1.00683371, 0.95299006, 0.95237727, 1.00239475, 0.95304063, 0.95932255, 0.95451913 ,0.96504607, 0.96456704, 0.95779787, 0.96389707, 0.97726483, 0.95666987, 0.9953429 ,1.00320194, 1.03893145
1.00621947, 1.01879259, 0.96063162, 0.97996503, 0.95571286, 0.95239814, 0.96187643, 0.95319654, 0.9659548 , 0.95934694 ,0.96256616, 0.9545415 ,0.96614678 ,0.96577363 ,0.97510267 ,0.96865259 ,1.02858265 ,0.96817966 ,1.03409352
0.96203323, 1.0383622 , 0.95644157, 1.0439233 , 0.9524139 , 0.95722231, 0.95651197, 0.95200419, 0.95216278, 0.95201123 ,0.96546376, 0.97404486, 0.96739674, 0.95386982, 0.97284831, 0.9761367 , 0.98112963,0.98311449, 1.04650446
1.00101239, 1.02934221, 0.97220691, 1.03420338, 0.95645852, 0.95314825, 1.00233645, 0.95379405, 0.96004197, 0.95746586 ,0.96220763, 0.98313796, 0.95656476, 0.98834125, 0.98198293, 0.95296453, 0.95413955,0.99568284, 1.03769582
1.00336299, 1.01970088, 0.95669121, 0.9924219 , 0.95116371, 0.95693611, 0.96916869, 0.95374891, 0.96486833, 0.96019682 ,0.95596659, 0.96080115, 0.96613914, 0.96796923, 0.97478046, 0.96967297, 0.96327684,0.98409066, 1.03679586
1.00928451, 1.01413083, 0.95302559, 1.0018622 , 0.95589966, 0.96099841, 0.99146299, 0.95785833, 0.95862752, 0.95833191 ,0.9529484 , 0.95916773, 0.96081168, 0.95948349, 0.97931192, 0.97345326, 0.96162094,0.98170138, 1.04222245
0.9658369 , 1.01803958, 0.95223971, 0.9957056 , 0.95425538, 0.95794424, 0.96531545, 0.95006298, 0.96985113, 0.9504839  ,0.97044638, 0.98531526, 0.96716857, 0.9664376 , 0.97671648, 0.96675105, 1.00154344,0.98721444, 1.03716865
1.00226979, 1.01417131, 0.95944876, 1.01946504, 0.95104234, 0.95337726, 0.96857657, 0.95249757, 0.95615464, 0.96263217, 0.98184238, 0.96015687, 0.97011108, 0.98125185, 0.97641826, 0.99181334, 1.0336724 ,0.97469764, 1.0243411
1.00046274, 1.02893579, 0.95118531, 0.98065201, 0.95113364, 0.96521912, 0.95633136, 0.95440431, 1.01428681, 0.96009613, 0.9531879 , 0.95514001, 0.98099675, 0.96521394, 0.97441493, 0.97030693, 0.99073878,0.97688586, 1.03081375
0.9943884 , 1.03188198, 0.96529234, 0.97056306, 0.95232873, 0.96068281, 0.99861391, 0.95008771, 0.97464096, 0.96737681, 0.95845949, 0.95695545, 0.97336396, 0.95307692, 0.97223794, 0.96080452, 0.98556956,0.975738 ,1.03682156
0.96866778, 1.00795521, 0.95888995, 1.00346206, 0.95034712, 0.96508511, 0.96216283, 0.95297977, 0.97606666, 0.95294473, 0.95747041, 0.96145137, 0.96662401, 0.96698298, 0.97310754, 0.97262933, 0.98906653,0.9733171 ,1.02747782
0.97062342, 1.02593605, 0.96029768, 0.9889168 , 0.9541879 , 0.95748457, 0.98267412, 0.95061236, 0.96978434, 0.95828632, 0.96780643, 0.97322148, 0.9655132 , 0.97216225, 0.97867915, 0.95957134, 1.04742181 ,1.01541161 ,1.00360466
0.95757791, 1.01770211, 0.95289403, 1.016757  , 0.95348262, 0.95646037, 0.95606502, 0.95517324, 0.97219237, 0.9511865 , 0.96916555, 0.98656388, 0.96576355, 0.96356989, 0.97966557, 0.98710181, 0.95991525,0.9652899 ,0.96060654
1.00209895, 1.01786587, 0.95273289, 1.01678945, 0.95059714, 0.959294 ,  0.95243707, 0.95126206, 0.96606391, 0.95205514, 0.97081456, 0.96358334, 0.97181805, 0.9760138 , 0.97870329, 0.97253773, 0.99499738,0.98871184 ,0.96598626
