torso_geom,thigh_right_geom,leg_right_geom,foot_right_geom,thigh_left_geom,leg_left_geom,foot_left_geom
1.03749409, 1.04921074, 1.03334844, 1.04933559, 1.04433065, 1.03854169, 1.03876789
1.04419123, 1.04808718, 1.0137176 , 1.0494086 , 1.04654788, 1.04080602, 1.03180508
1.03961402, 1.04749325, 1.028981  , 1.04929613, 1.04535969, 1.04505544, 1.01570423
1.04504797, 1.04871391, 1.02339668, 1.04281306, 1.04794364, 1.01858956, 1.04346894
1.04526126, 1.04930454, 1.02482241, 1.04024641, 1.04797808, 1.034766 ,0.95663937
1.04341107, 1.04454662, 1.03095797, 1.03943129, 1.04778249, 1.03594484, 1.02638906
1.04529649, 1.04593518, 1.02552106, 1.04521774, 1.04632808, 1.03246473, 1.01273365
1.04999139, 1.04933062, 1.02695134, 1.04990918, 1.04890388, 1.02136476, 1.04256839
1.04273478, 1.04975025, 1.02993173, 1.04184803, 1.03663568, 1.03767714, 1.03553579
1.04833429, 1.0473174 , 1.02966957, 1.04014811, 1.04554389, 1.04549619, 1.02502703
1.04202133, 1.04858859, 1.03226849, 1.0452787 , 1.04473826, 1.02240136, 1.04836568
1.03759362, 1.04600528, 1.03480716, 1.03925273, 1.04496326, 1.04878471, 1.03561058
1.04485408, 1.04586944, 1.0331279 , 1.04436597, 1.0478585 , 1.0368799 ,1.01925493
1.04305185, 1.04428206, 1.03199385, 1.04098857, 1.04805959, 1.03660789, 1.04041435
